,0
),1250
(,1250
the,809
’,419
to,395
",",359
of,336
a,289
and,240
-,234
in,194
you,176
it,172
I,170
s,156
that,137
on,134
.,116
for,115
they,105
we,102
be,94
with,85
t,84
at,80
is,74
have,69
from,65
was,64
as,60
there,58
can,57
are,53
–,53
about,51
people,50
so,49
 ,49
more,48
The,46
re,45
this,45
will,43
one,42
but,42
do,42
ll,42
need,41
if,41
what,41
by,40
them,39
were,38
other,37
their,37
ve,37
or,37
out,36
your,35
all,35
up,35
Q15,35
Q23,35
Q28,35
some,34
like,34
Q12,34
Q14,34
Q20,34
Q22,34
Q18,34
Q11,33
Q13,33
Q21,33
Q27,33
Q29,33
Q30,33
Q16,33
an,32
right,32
Q19,32
Q17,32
get,31
just,31
d,31
when,31
been,31
Q6,31
Q24,31
Q25,31
Q3,31
But,30
which,30
Q2,30
Q7,30
Q10,30
Q31,30
Q33,30
Q34,30
Q35,30
Q39,30
Q26,30
he,29
Q1,29
Q32,29
Q8,29
Q40,29
who,28
side,28
It,28
Q36,28
Q37,28
Q38,28
time,27
go,27
see,27
not,27
Q5,27
how,26
had,26
Q4,26
Q9,26
year,25
our,25
would,24
A,24
first,24
think,24
make,24
something,23
end,23
two,22
where,22
has,22
find,22
got,22
then,22
don,22
could,21
And,21
quite,21
should,21
different,20
because,20
left,20
Example,19
Road,19
road,19
years,18
much,18
these,18
also,18
work,18
most,18
We,18
now,18
any,18
park,17
only,17
very,17
number,17
used,17
main,17
going,17
really,17
didn,17
local,16
off,16
That,16
new,16
many,16
path,16
E,15
N,15
me,15
long,15
small,15
‘,15
into,15
his,15
better,15
take,15
want,15
So,15
same,14
no,14
children,14
L,14
T,14
￡,14
than,14
use,14
actually,14
down,14
far,14
my,14
us,13
here,13
If,13
next,13
might,13
before,13
over,13
own,13
few,13
day,13
lot,13
way,13
public,13
she,13
You,13
her,13
three,12
wanted,12
part,12
R,12
half,12
area,12
each,12
Street,12
entrance,12
door,12
gardens,12
those,12
sure,12
through,11
H,11
too,11
m,11
things,11
room,11
well,11
old,11
using,11
along,11
play,11
enough,11
after,11
turn,11
good,11
course,10
decided,10
S,10
near,10
put,10
O,10
between,10
ask,10
look,10
back,10
company,10
large,10
This,10
books,10
?,10
food,10
looking,10
river,10
five,9
Hill,9
garden,9
library,9
include,9
students,9
started,9
Then,9
ones,9
writing,9
last,9
What,9
leave,9
possible,9
know,9
hard,9
corridor,9
come,9
museum,9
every,8
six,8
days,8
four,8
eight,8
C,8
past,8
week,8
focus,8
its,8
rather,8
training,8
country,8
keep,8
team,8
free,8
making,8
example,8
…,8
say,8
even,8
study,8
great,8
school,8
city,8
Section3,8
bridge,8
parking,8
report,7
always,7
extra,7
around,7
together,7
Y,7
little,7
roads,7
less,7
being,7
away,7
experience,7
house,7
building,7
They,7
ago,7
water,7
outside,7
field,7
month,7
City,7
expected,7
found,7
phone,7
walking,7
give,7
afternoon,7
whole,7
talk,7
fact,7
until,7
style,7
audience,7
read,7
start,7
trees,7
test2,7
Section1,7
isn,7
thought,7
east,7
Section4,7
women,7
—,7
stage,7
century,7
someone,7
gate,7
cost,6
wouldn,6
place,6
places,6
car,6
low,6
double,6
west,6
information,6
book,6
When,6
second,6
running,6
ten,6
department,6
walk,6
staff,6
Hall,6
must,6
range,6
write,6
help,6
hand,6
holiday,6
cinema,6
animals,6
site,6
point,6
results,6
feel,6
bit,6
said,6
There,6
healthy,6
social,6
town,6
presentation,6
idea,6
probably,6
seeds,6
test3,6
yourself,6
made,6
lunch,6
bend,6
doesn,6
never,6
instead,6
south,6
short,5
full,5
without,5
bikes,5
months,5
money,5
learn,5
education,5
care,5
confidence,5
M,5
let,5
hundred,5
resources,5
lots,5
available,5
Centre,5
technical,5
trying,5
suggest,5
problems,5
young,5
close,5
industry,5
Some,5
ground,5
system,5
problem,5
effects,5
research,5
power,5
several,5
box,5
office,5
traffic,5
species,5
mind,5
personal,5
weeks,5
check,5
games,5
B,5
themselves,5
land,5
location,5
open,5
space,5
caf,5
é,5
understanding,5
change,5
world,5
important,5
environment,5
pool,5
often,5
particular,5
doing,5
supermarket,5
corner,5
W,5
medical,5
everyone,5
came,5
round,5
£,5
theatre,5
able,5
contact,5
paintings,5
ahead,5
towards,5
under,5
sitting,5
evening,5
seen,5
test1,5
couldn,5
set,5
air,5
market,5
jobs,5
lake,5
pupils,5
term,4
topic,4
having,4
meant,4
developed,4
pay,4
interested,4
D,4
national,4
charge,4
tables,4
$,4
nine,4
seven,4
bank,4
dangerous,4
best,4
north,4
run,4
may,4
ways,4
000,4
business,4
July,4
group,4
handouts,4
prepared,4
level,4
needs,4
science,4
minutes,4
fit,4
existing,4
once,4
film,4
hour,4
Museum,4
England,4
built,4
houses,4
button,4
gone,4
